
> bitebase-backend-cloudflare@1.0.0 start
> node bitebase-api-server.js

🚀 BiteBase API Server running on http://0.0.0.0:12001
📊 Available endpoints:
   GET  /health - Health check
   GET  /api/restaurants - List restaurants
   GET  /api/restaurants/:id - Get restaurant details
   GET  /api/market-analyses - List market analyses
   POST /api/market-analyses - Create market analysis
   GET  /api/market-analyses/:id - Get market analysis
🌐 CORS enabled for runtime domains
✅ Server ready for frontend connection!
[2025-06-07T02:38:46.695Z] GET / - IP: 10.2.9.135
[2025-06-07T02:39:34.364Z] GET / - IP: 10.2.9.135
[2025-06-07T02:39:46.081Z] GET / - IP: 10.2.9.135
[2025-06-07T02:40:04.293Z] GET / - IP: 10.2.9.135
[2025-06-07T02:40:08.105Z] GET / - IP: 10.2.9.135
[2025-06-07T02:41:31.785Z] GET / - IP: 10.2.56.141
[2025-06-07T02:41:44.077Z] GET / - IP: 10.2.56.141
[2025-06-07T02:41:48.241Z] GET / - IP: 10.2.56.141
[2025-06-07T02:42:51.949Z] GET / - IP: 10.2.56.141
[2025-06-07T02:44:11.993Z] GET / - IP: 10.2.56.141
[2025-06-07T02:47:07.904Z] GET / - IP: 10.2.56.141
[2025-06-07T02:54:14.619Z] GET / - IP: 10.2.34.24
