🚀 BiteBase Minimal Backend running on http://0.0.0.0:12001
📊 Available endpoints:
   GET  /health - Health check
   GET  /api/restaurants - List restaurants
   GET  /api/restaurants/:id - Get restaurant details
   GET  /api/market-analyses - List market analyses
   POST /api/market-analyses - Create market analysis
   GET  /api/market-analyses/:id - Get market analysis
🌐 CORS enabled for runtime domains
✅ Server ready for frontend connection!
[2025-05-31T16:33:56.337Z] GET /health - IP: 127.0.0.1
[2025-05-31T16:33:56.364Z] POST /api/auth/login - IP: 127.0.0.1
[2025-05-31T16:34:01.254Z] GET /health - IP: 127.0.0.1
[2025-05-31T16:37:08.066Z] POST /api/auth/login - IP: 127.0.0.1
[2025-05-31T16:37:08.092Z] POST /api/auth/login - IP: 127.0.0.1
[2025-05-31T16:37:08.120Z] GET /api/auth/profile - IP: 127.0.0.1
[2025-05-31T16:39:27.440Z] POST /api/auth/login - IP: 127.0.0.1
[2025-05-31T16:39:28.488Z] GET /api/restaurants - IP: 127.0.0.1
[2025-05-31T16:39:43.400Z] GET /api/auth/profile - IP: 127.0.0.1
[2025-05-31T16:39:43.403Z] GET /api/auth/profile - IP: 127.0.0.1
[2025-05-31T16:40:03.069Z] POST /api/auth/login - IP: 127.0.0.1
[2025-05-31T16:40:03.586Z] GET /api/restaurants - IP: 127.0.0.1
[2025-05-31T16:41:45.831Z] GET /api/auth/profile - IP: 127.0.0.1
[2025-05-31T16:41:45.835Z] GET /api/auth/profile - IP: 127.0.0.1
[2025-05-31T16:41:45.878Z] GET /api/restaurants - IP: 127.0.0.1
[2025-05-31T16:41:49.680Z] GET /api/auth/profile - IP: 127.0.0.1
[2025-05-31T16:41:49.685Z] GET /api/auth/profile - IP: 127.0.0.1
[2025-05-31T16:41:49.732Z] GET /api/restaurants - IP: 127.0.0.1
[2025-05-31T16:42:01.218Z] GET /api/auth/profile - IP: 127.0.0.1
[2025-05-31T16:42:01.231Z] GET /api/auth/profile - IP: 127.0.0.1
[2025-05-31T16:42:31.233Z] POST /api/auth/login - IP: 127.0.0.1
[2025-05-31T16:42:31.480Z] GET /api/restaurants - IP: 127.0.0.1
[2025-05-31T16:51:34.543Z] GET /api/auth/profile - IP: 127.0.0.1
[2025-05-31T16:51:34.547Z] GET /api/auth/profile - IP: 127.0.0.1
[2025-05-31T16:52:08.744Z] GET /api/restaurants - IP: 127.0.0.1
[2025-05-31T16:52:23.564Z] GET /api/auth/profile - IP: 127.0.0.1
[2025-05-31T16:52:23.569Z] GET /api/auth/profile - IP: 127.0.0.1
[2025-05-31T16:54:31.274Z] GET /api/auth/profile - IP: 127.0.0.1
[2025-05-31T16:54:31.278Z] GET /api/auth/profile - IP: 127.0.0.1
[2025-05-31T16:55:15.153Z] GET /api/restaurants - IP: 127.0.0.1
[2025-05-31T16:55:26.775Z] GET /api/auth/profile - IP: 127.0.0.1
[2025-05-31T16:55:26.779Z] GET /api/auth/profile - IP: 127.0.0.1
[2025-05-31T16:56:27.823Z] GET /api/auth/profile - IP: 127.0.0.1
[2025-05-31T16:56:27.827Z] GET /api/auth/profile - IP: 127.0.0.1
[2025-05-31T16:57:10.198Z] GET /api/restaurants - IP: 127.0.0.1
[2025-05-31T16:57:22.240Z] GET /api/auth/profile - IP: 127.0.0.1
[2025-05-31T16:57:22.246Z] GET /api/auth/profile - IP: 127.0.0.1
🛑 SIGTERM received, shutting down gracefully
