
> bitebase-backend-cloudflare@1.0.0 dev
> node minimal-server.js

🚀 BiteBase Minimal Backend running on http://0.0.0.0:12001
📊 Available endpoints:
   GET  /health - Health check
   GET  /api/restaurants - List restaurants
   GET  /api/restaurants/:id - Get restaurant details
   GET  /api/market-analyses - List market analyses
   POST /api/market-analyses - Create market analysis
   GET  /api/market-analyses/:id - Get market analysis
🌐 CORS enabled for runtime domains
✅ Server ready for frontend connection!
[2025-06-01T06:19:12.142Z] GET /health - IP: 127.0.0.1
[2025-06-01T06:20:47.267Z] GET /health - IP: 127.0.0.1
[2025-06-01T06:20:52.243Z] GET /api/restaurants - IP: 127.0.0.1
[2025-06-01T06:21:02.961Z] GET / - IP: 10.2.69.17
[2025-06-01T06:21:41.567Z] POST /api/auth/login - IP: 127.0.0.1
[2025-06-01T06:21:42.731Z] GET /api/restaurants - IP: 127.0.0.1
[2025-06-01T06:21:43.774Z] GET /api/chat/history/1 - IP: 127.0.0.1
[2025-06-01T06:21:52.020Z] GET / - IP: 10.2.69.17
[2025-06-01T06:22:08.993Z] GET /api/restaurants - IP: 127.0.0.1
[2025-06-01T06:22:17.464Z] GET /api/restaurants - IP: 127.0.0.1
[2025-06-01T06:22:18.492Z] GET /api/chat/history/1 - IP: 127.0.0.1
[2025-06-01T06:22:39.421Z] POST /api/chat - IP: 127.0.0.1
[2025-06-01T06:22:49.825Z] GET /api/restaurants - IP: 127.0.0.1
[2025-06-01T06:23:39.125Z] GET /api/restaurants - IP: 127.0.0.1
[2025-06-01T06:23:40.153Z] GET /api/chat/history/1 - IP: 127.0.0.1
[2025-06-01T06:24:06.596Z] POST /api/chat - IP: 127.0.0.1
[2025-06-01T06:24:16.560Z] GET /api/restaurants - IP: 127.0.0.1
[2025-06-01T06:24:32.599Z] GET /api/auth/profile - IP: 127.0.0.1
[2025-06-01T06:24:32.603Z] GET /api/auth/profile - IP: 127.0.0.1
[2025-06-01T06:27:39.838Z] GET / - IP: 10.2.69.17
[2025-06-01T06:29:51.219Z] GET / - IP: 10.2.69.17
[2025-06-01T06:40:00.290Z] GET / - IP: 10.2.58.81
[2025-06-01T06:41:36.966Z] GET / - IP: 10.2.69.17
[2025-06-01T06:42:26.501Z] GET / - IP: 10.2.69.17
[2025-06-01T06:44:40.499Z] GET / - IP: 10.2.69.17
[2025-06-01T07:01:17.299Z] GET / - IP: 10.2.58.81
[2025-06-01T07:20:15.819Z] GET / - IP: 10.2.34.24
[2025-06-01T07:22:52.464Z] GET / - IP: 10.2.56.141
